run_id,origin,valid_time,lead_hours,field,pressure_hpa,baseline_mse,residual_mse,baseline_bias,residual_bias
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,1.0,89.33928978430886,61.74721514365619,-5.7118673497126755,-1.486749402547299
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,2.0,59.87850948198418,108.78277778435601,-4.062185993010345,7.899851056747151
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,3.0,37.911382172669356,85.54747225268635,-2.618488052682066,7.145531034916612
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,5.0,21.05307520931379,43.78609034643429,-1.9778210316998082,4.799930371016312
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,7.0,14.292602960703885,36.38041312711953,-1.4671280155833337,4.531840648735365
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,10.0,8.440940213689483,25.727501073481182,-0.22256647200443724,4.126770521671646
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,20.0,4.658658967959686,10.881364106160792,0.709133332606002,-2.1087829894296393
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,30.0,3.6836546371832872,11.349754385197578,0.8606680365606221,-2.452689579151519
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,1.0,923852117.0954685,7128136.9692497635,-30177.173700653217,-207.4355540661491
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,2.0,431586148.5692928,3079923.941950595,-20620.089053250966,117.22072759170405
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,3.0,244622602.28649235,1804768.2681491794,-15528.189354605434,-370.91768304345237
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,5.0,91835769.12398604,950965.2172213374,-9506.245032709485,287.5743144295798
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,7.0,36582616.22086151,640661.162377737,-5991.840225809175,313.0540721041306
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,10.0,7811601.830148267,509665.8289602654,-2739.2156474842404,366.0477960259499
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,20.0,1909855.7770481836,346675.9192833427,1351.3715233653627,465.633848654899
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,geopotential,30.0,3259324.9969791714,190797.10378889466,1789.4855176068695,292.17066434810965
