run_id,lead_hours,pressure_hpa,baseline_mse,baseline_rmse,baseline_mean_bias,baseline_spatial_bias_energy,baseline_spatial_bias_energy_pct,baseline_centered_rmse,residual_mse,residual_rmse,residual_mean_bias,residual_spatial_bias_energy,residual_spatial_bias_energy_pct,residual_centered_rmse,mse_reduction,bias_removal_share_of_mse_reduction_pct
k1_w128_d16,6,1,924545601.990688,30406.341476584912,-30200.45185941862,912067519.1953796,98.65035507513733,3532.432985253678,7326929.382477884,2706.8301355049757,8.451601717672231,44519.07516870186,0.6076089019660513,2698.5941353432872,917218672.6082101,99.4335404802407
k1_w128_d16,6,2,430217429.3785183,20741.683378610287,-20594.500526289597,424133714.12418574,98.58589753950207,2466.518853431402,3004319.384612232,1733.2972580063213,290.40369109354566,104174.00846885417,3.4674744969666373,1702.9813199631337,427213109.9939061,99.25480520056263
k1_w128_d16,6,3,243639333.34701648,15608.950424260322,-15500.086817749434,240252948.29746366,98.61008277972523,1840.2133163176554,1614772.2918874396,1270.7369089970746,-243.2671396904725,69755.98571129773,4.319865163760204,1242.9868487542988,242024561.05512905,99.23918104206075
k1_w128_d16,6,5,91763918.83166303,9579.348559879374,-9503.353396977544,90314095.54638709,98.42005081764701,1204.0860788481673,938792.3143091266,968.9129549702216,347.1890519534245,124794.77124602062,13.293118120365019,902.2181238830807,90825126.5173539,99.29994510704992
k1_w128_d16,6,7,36772258.19758301,6064.013373796517,-6007.141206071455,36086080.89889717,98.13398107073299,828.3581946753771,620562.5235366505,787.7579092187209,333.6946546050655,113531.42495260254,18.29492124428899,712.06116210902,36151695.67404636,99.5044597583554
k1_w128_d16,6,10,7949690.1778048985,2819.5194941345767,-2765.4298404692563,7647992.366547191,96.20491107816967,549.2702533887194,474014.83519684913,688.4873529679751,345.3255657864068,120266.71492480852,25.371930579949908,594.7672824492287,7475675.3426080495,100.69626229910854
k1_w128_d16,6,20,1858573.9164416054,1363.2952418466095,1331.664247461996,1773678.5947345828,95.43223323237196,291.3680176461083,307798.86390471965,554.7962363829802,412.60292553978866,170979.20786731775,55.549005509079805,369.89141114305676,1550775.0525368857,103.34828279868427
k1_w128_d16,6,30,3198044.405876105,1788.3076932888548,1771.6384137858515,3138977.4482837114,98.15302884838424,243.03694696978613,166642.1054337884,408.21820811153,247.83813269939932,62042.327791205134,37.23088329309203,323.4188888153926,3031402.3004423166,101.50203818356758
k1_w128_d16,6,500,969.6078602178936,31.13852694360948,-7.165119071927976,57.46749339846608,5.926879902309351,30.201661656594784,15781.21258913438,125.62329636311244,-14.784391567362315,226.50631820203307,1.4352909633698638,124.71850813304474,-14811.604728916487,1.1412593564123061
k1_w256_d16,6,1,924545601.990688,30406.341476584912,-30200.45185941862,912067519.1953796,98.65035507513733,3532.432985253678,6940992.228047699,2634.5762900412847,-315.79533619091114,111218.95216031877,1.6023494697328233,2613.3834919290703,917604609.7626402,99.38445061638454
