run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k1_w128_d16,6,temperature,1,9.9039903324195,8.454861858841012,14.631763813772558
k1_w128_d16,6,temperature,2,7.803570145844489,10.54241354668013,-35.097312507584924
k1_w128_d16,6,temperature,3,5.9621518485255605,9.279290895373643,-55.63660790807283
k1_w128_d16,6,temperature,5,4.385090055922865,6.6151360107853465,-50.85519171608339
k1_w128_d16,6,temperature,7,3.7635630458508427,6.081347443626443,-61.58484312706951
k1_w128_d16,6,temperature,10,2.9208224696340426,5.10536866756496,-74.79215942229536
k1_w128_d16,6,temperature,20,2.0939721623718794,3.298616104170446,-57.52912877476102
k1_w128_d16,6,temperature,30,1.8917885452409964,3.396304857877837,-79.52877801388627
k1_w128_d16,6,geopotential,1,30406.341476584912,2706.8301355049757,91.09781050906953
k1_w128_d16,6,geopotential,2,20741.683378610287,1733.2972580063213,91.6434108728428
k1_w128_d16,6,geopotential,3,15608.950424260322,1270.7369089970746,91.85892148762275
k1_w128_d16,6,geopotential,5,9579.348559879374,968.9129549702216,89.88539827198414
k1_w128_d16,6,geopotential,7,6064.013373796517,787.7579092187209,87.00929795731096
k1_w128_d16,6,geopotential,10,2819.5194941345767,688.4873529679751,75.58139412051487
k1_w128_d16,6,geopotential,20,1363.2952418466095,554.7962363829802,59.304762508266506
k1_w128_d16,6,geopotential,30,1788.3076932888548,408.21820811153,77.17293228433297
k1_w128_d16,6,geopotential,500,31.13852694360948,125.62329636311244,-303.43365179287633
k1_w128_d16,6,u_component_of_wind,1,19.89105783588024,21.56959501042482,-8.438652123954782
k1_w128_d16,6,u_component_of_wind,2,14.808786249493675,15.456941978270507,-4.376832225524163
k1_w128_d16,6,u_component_of_wind,3,11.813944705597986,12.462852632847001,-5.492728664469992
k1_w128_d16,6,u_component_of_wind,5,10.582284597279084,12.145626089761286,-14.773194560314206
k1_w128_d16,6,u_component_of_wind,7,10.734911366240992,11.633404288364058,-8.36982152408483
k1_w128_d16,6,u_component_of_wind,10,11.367662377437185,13.448852577857792,-18.307987441212227
k1_w128_d16,6,u_component_of_wind,20,5.027319534514148,8.977189481388182,-78.5681100983719
k1_w128_d16,6,u_component_of_wind,30,4.870175131043882,6.910813527963483,-41.900719009301966
k1_w128_d16,6,v_component_of_wind,1,12.650821521634215,14.018986463686577,-10.814830797451824
k1_w128_d16,6,v_component_of_wind,2,9.32051501398184,9.476798362201764,-1.676767302938531
k1_w128_d16,6,v_component_of_wind,3,7.377398002654424,7.570830369004641,-2.6219592094749222
k1_w128_d16,6,v_component_of_wind,5,5.7748836147911335,6.059158371715107,-4.922605820069936
k1_w128_d16,6,v_component_of_wind,7,5.008131173043137,5.439280826255013,-8.608992822164696
k1_w128_d16,6,v_component_of_wind,10,4.115790792237513,5.022404123902103,-22.027682587134546
k1_w128_d16,6,v_component_of_wind,20,3.008941802687958,4.76255735745122,-58.28014198203222
k1_w128_d16,6,v_component_of_wind,30,2.687952154629618,4.767948541177437,-77.3821953253639
k1_w128_d16,6,specific_humidity,1,8.822090230926471e-07,3.899877427123884e-07,55.79417887324952
k1_w128_d16,6,specific_humidity,2,6.319030013197258e-07,1.5848556046112643e-07,74.91932145754487
k1_w128_d16,6,specific_humidity,3,5.566283515854871e-07,1.5203669529002668e-07,72.68613881111716
k1_w128_d16,6,specific_humidity,5,4.6491624455131087e-07,2.1243991155410443e-07,54.30576710453956
k1_w128_d16,6,specific_humidity,7,3.856301475623728e-07,2.5132002715601605e-07,34.828739727781034
k1_w128_d16,6,specific_humidity,10,2.699003674101188e-07,3.382886780598789e-07,-25.33835404004572
k1_w128_d16,6,specific_humidity,20,1.0596226762451903e-07,3.9294334996235214e-07,-270.83327751606873
k1_w128_d16,6,specific_humidity,30,8.362557987089006e-08,1.839164359467364e-07,-119.9284432235757
