run_id,train_K,eval_K,checkpoint_update,origin,valid_time,lead_hours,physical_hours,field,pressure_hpa,location,era5,baseline,residual
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,7.0,Beijing,325085.9375,319347.25,324901.0
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,10.0,Global mean,302265.3495590292,299526.1339115449,302631.3973550552
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,10.0,New York,300234.0,297670.09375,300898.34375
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,10.0,Beijing,301701.625,298971.6875,301468.5625
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,20.0,Global mean,257478.1713445697,258829.5428679351,257943.80519322463
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,20.0,New York,257871.390625,258911.296875,257714.921875
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,20.0,Beijing,256840.359375,258185.125,257184.328125
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,30.0,Global mean,232015.26292136614,233804.74843897298,232307.43358571423
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,30.0,New York,232617.421875,234511.9375,232816.46875
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,30.0,Beijing,231041.484375,232839.765625,231544.359375
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,500.0,Global mean,55341.73239734683,55337.55705012049,55330.98101972854
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,500.0,New York,54421.8046875,54411.83203125,54285.55078125
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,geopotential,500.0,Beijing,52418.89453125,52430.73828125,52512.765625
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,1.0,Global mean,-16.816184792750505,-13.48594725094279,-18.39336650339576
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,1.0,New York,84.8095703125,46.653690338134766,50.94271469116211
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,1.0,Beijing,-29.85650062561035,-0.2819649279117584,-2.100285291671753
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,2.0,Global mean,-13.615734724765726,-11.387276199140022,-9.168773510493377
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,2.0,New York,52.19194412231445,42.06682205200195,54.77861404418945
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,2.0,Beijing,-45.28384780883789,0.12876935303211212,8.07108211517334
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,3.0,Global mean,-6.745023493939752,-9.121933611139767,-5.9534852960219045
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,3.0,New York,35.361854553222656,41.14100646972656,52.53242874145508
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,3.0,Beijing,-32.14837646484375,-1.7379430532455444,7.012240886688232
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,5.0,Global mean,-1.7421641493893025,-3.207939206482868,0.008172211035297104
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,5.0,New York,29.19066619873047,48.694984436035156,59.73269271850586
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,5.0,Beijing,-15.361719131469727,-2.6106889247894287,-0.1057848259806633
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,7.0,Global mean,0.4116259922772239,-3.7953016905609394,-0.09581036207749863
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,7.0,New York,31.304912567138672,46.08618927001953,50.56291961669922
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,7.0,Beijing,-2.218803644180298,-7.102147579193115,0.06673003733158112
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,10.0,Global mean,0.6970703075411558,-4.769822794675383,-2.3228471166341746
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,10.0,New York,31.042001724243164,43.498451232910156,43.70834732055664
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,10.0,Beijing,3.9739415645599365,-6.368839740753174,5.944341659545898
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,20.0,Global mean,-5.998614673086166,-4.936716002710343,0.06360969204814597
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,20.0,New York,38.71562576293945,34.754547119140625,38.97002410888672
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,20.0,Beijing,12.558865547180176,8.407334327697754,27.788898468017578
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,30.0,Global mean,-4.389620078416266,-2.9025901906574143,-0.5146041133385817
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,30.0,New York,35.83698272705078,32.2358283996582,34.00662612915039
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,u_component_of_wind,30.0,Beijing,17.08295249938965,19.820924758911133,31.44029998779297
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,1.0,Global mean,1.2257799941838488,0.3339910587273228,5.077727022870535
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,1.0,New York,24.62932777404785,18.58081817626953,12.128656387329102
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,1.0,Beijing,-25.56205940246582,-13.99231243133545,-18.48714828491211
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,2.0,Global mean,0.5982808646689175,0.45109674027700597,1.2198671791611635
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,2.0,New York,12.36425495147705,19.54743194580078,11.440613746643066
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,2.0,Beijing,-27.945281982421875,-14.217538833618164,-16.359535217285156
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,3.0,Global mean,-0.2886500708530748,0.3242337738512199,-0.6443714473238282
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,3.0,New York,5.997170925140381,19.907485961914062,11.718181610107422
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,3.0,Beijing,-22.625917434692383,-12.979732513427734,-14.011037826538086
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,5.0,Global mean,0.06440730138196983,0.056509055400259287,-0.2657095481029931
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,5.0,New York,2.4818992614746094,18.16783905029297,13.677467346191406
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,5.0,Beijing,-6.958387851715088,-8.970857620239258,-8.01611042022705
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,7.0,Global mean,0.4126931181366633,-0.07818168962345838,-1.3916810299603104
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,7.0,New York,8.190892219543457,16.172237396240234,12.505698204040527
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,7.0,Beijing,-3.5732791423797607,-5.308295249938965,-4.7943010330200195
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,10.0,Global mean,0.2686072085597101,-0.2117303172453202,-2.4531178294283844
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,10.0,New York,6.919497966766357,13.999493598937988,10.967575073242188
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,10.0,Beijing,0.10662595927715302,-1.2008150815963745,-1.7849667072296143
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,20.0,Global mean,0.20835951624509252,-0.22739679981002886,-3.2555680057212486
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,20.0,New York,9.626540184020996,9.88486385345459,8.611495971679688
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,20.0,Beijing,4.521214008331299,3.5026745796203613,1.0383129119873047
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,30.0,Global mean,-0.033194644356074415,0.03332544411472173,3.7435972511963596
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,30.0,New York,12.074629783630371,8.800930976867676,16.53882598876953
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,v_component_of_wind,30.0,Beijing,5.485284805297852,3.9629547595977783,7.877209186553955
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,1.0,Global mean,3.8418305455030355e-06,2.9771466858052417e-06,3.5098713797967477e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,1.0,New York,3.922509677067865e-06,2.9390869258349994e-06,3.5126479360769736e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,1.0,Beijing,3.7970403354847804e-06,3.133554173473385e-06,3.682222086354159e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,2.0,Global mean,3.5950194097515616e-06,2.9764453594716084e-06,3.5134141052631443e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,2.0,New York,3.860182005155366e-06,2.93600169243291e-06,3.5142488741257694e-06
