recipe,run_id,epoch,update,field,baseline_loss,residual_loss,improvement_pct,baseline_share_pct,residual_share_pct
readme_v1,r2p8_w128_di16,0,0,total,20832.350792589317,20832.350792589317,0.0,100.0,100.0
readme_v1,r2p8_w128_di16,0,0,temperature,0.016496350804634442,0.016496350804634442,0.0,7.918621843917241e-05,7.918621843917241e-05
readme_v1,r2p8_w128_di16,0,0,geopotential,0.10027638530116288,0.10027638530116288,0.0,0.0004813493508223477,0.0004813493508223477
readme_v1,r2p8_w128_di16,0,0,u_component_of_wind,0.02230661161398653,0.02230661161398653,0.0,0.00010707678569776027,0.00010707678569776027
readme_v1,r2p8_w128_di16,0,0,v_component_of_wind,0.015066207220196689,0.015066207220196689,0.0,7.23212054664334e-05,7.23212054664334e-05
readme_v1,r2p8_w128_di16,0,0,specific_humidity,0.04326741706933395,0.04326741706933395,0.0,0.00020769339715960163,0.00020769339715960163
readme_v1,r2p8_w128_di16,0,0,specific_cloud_ice_water_content,623.3469472720234,623.3469472720234,0.0,2.992206465214508,2.992206465214508
readme_v1,r2p8_w128_di16,0,0,specific_cloud_liquid_water_content,20208.806432345285,20208.806432345285,0.0,97.00684590782791,97.00684590782791
current_v2,r2p8_w128_di16,0,0,total,1.1389526497087266,1.1389526497087266,0.0,100.0,100.0
current_v2,r2p8_w128_di16,0,0,temperature,0.012342242251354033,0.012342242251354033,0.0,1.0836484075532387,1.0836484075532387
current_v2,r2p8_w128_di16,0,0,geopotential,1.0827033166100655,1.0827033166100655,0.0,95.06131066001329,95.06131066001329
current_v2,r2p8_w128_di16,0,0,u_component_of_wind,0.015357475675661867,0.015357475675661867,0.0,1.3483857893117293,1.3483857893117293
current_v2,r2p8_w128_di16,0,0,v_component_of_wind,0.009351332768317849,0.009351332768317849,0.0,0.8210466669276673,0.8210466669276673
current_v2,r2p8_w128_di16,0,0,specific_humidity,0.018847286878164386,0.018847286878164386,0.0,1.6547910822266714,1.6547910822266714
current_v2,r2p8_w128_di16,0,0,specific_cloud_ice_water_content,9.034326505392342e-05,9.034326505392342e-05,0.0,0.007932135289120897,0.007932135289120897
current_v2,r2p8_w128_di16,0,0,specific_cloud_liquid_water_content,0.00026065226010914,0.00026065226010914,0.0,0.022885258678295245,0.022885258678295245
normalized24_mse,r2p8_w128_di16,0,0,total,263.94315250079455,263.94315250079455,0.0,100.0,100.0
normalized24_mse,r2p8_w128_di16,0,0,temperature,0.4887854524215519,0.4887854524215519,0.0,0.1851858810468972,0.1851858810468972
normalized24_mse,r2p8_w128_di16,0,0,geopotential,258.5141289562673,258.5141289562673,0.0,97.94310877433696,97.94310877433696
normalized24_mse,r2p8_w128_di16,0,0,u_component_of_wind,0.7799976861007852,0.7799976861007852,0.0,0.29551730314293234,0.29551730314293234
normalized24_mse,r2p8_w128_di16,0,0,v_component_of_wind,0.11498030339286223,0.11498030339286223,0.0,0.04356252560578025,0.04356252560578025
normalized24_mse,r2p8_w128_di16,0,0,specific_humidity,4.044407673049877,4.044407673049877,0.0,1.5323025563384152,1.5323025563384152
normalized24_mse,r2p8_w128_di16,0,0,specific_cloud_ice_water_content,0.0004089499670297924,0.0004089499670297924,0.0,0.00015493865370444165,0.00015493865370444165
normalized24_mse,r2p8_w128_di16,0,0,specific_cloud_liquid_water_content,0.00044347959509647133,0.00044347959509647133,0.0,0.00016802087528871822,0.00016802087528871822
readme_v1,r2p8_w128_di16,1,424,total,20832.350792589317,78197.6613909099,-275.36647769356455,100.0,100.0
readme_v1,r2p8_w128_di16,1,424,temperature,0.016496350804634442,0.07649352474030695,-363.6996730138465,7.918621843917241e-05,9.782073194991859e-05
readme_v1,r2p8_w128_di16,1,424,geopotential,0.10027638530116288,0.013619529153643357,86.41800947178197,0.0004813493508223477,1.7416798547925068e-05
