recipe,run_id,field,pressure_hpa,baseline_contribution,residual_contribution
current_v2,r2p8_w128_di16,geopotential,700.0,0.00018746197935436956,0.0002576089532413819
current_v2,r2p8_w128_di16,geopotential,750.0,0.00020080102173582654,0.0002787432028163791
current_v2,r2p8_w128_di16,geopotential,775.0,0.000210189035587639,0.00029767993415919474
current_v2,r2p8_w128_di16,geopotential,800.0,0.00021952303844362765,0.0003073813428958629
current_v2,r2p8_w128_di16,geopotential,825.0,0.00023076046255630927,0.0003179204139360052
current_v2,r2p8_w128_di16,geopotential,850.0,0.00024322952629778755,0.00034036764390415374
current_v2,r2p8_w128_di16,geopotential,875.0,0.00025702903093818163,0.0003712501338694388
current_v2,r2p8_w128_di16,geopotential,900.0,0.0002758167413721179,0.00040025325662391937
current_v2,r2p8_w128_di16,geopotential,925.0,0.00029745483176797183,0.0004376656368693359
current_v2,r2p8_w128_di16,geopotential,950.0,0.0003216152672111645,0.0004899778344195569
current_v2,r2p8_w128_di16,geopotential,975.0,0.0003557521518394221,0.0005888063645446149
current_v2,r2p8_w128_di16,geopotential,1000.0,0.0004021374145703162,0.0007720683764206131
current_v2,r2p8_w128_di16,u_component_of_wind,1.0,0.0005132443891087077,0.0010537751776182186
current_v2,r2p8_w128_di16,u_component_of_wind,2.0,0.0006464447790902828,0.0009093108379693334
current_v2,r2p8_w128_di16,u_component_of_wind,3.0,0.0006084490569928357,0.0008695700983035524
current_v2,r2p8_w128_di16,u_component_of_wind,5.0,0.0004954647518791099,0.0006583905841272743
current_v2,r2p8_w128_di16,u_component_of_wind,7.0,0.0004712964589286031,0.0006061750394941997
current_v2,r2p8_w128_di16,u_component_of_wind,10.0,0.0004836204702842713,0.0006947379343127193
current_v2,r2p8_w128_di16,u_component_of_wind,20.0,0.00038023406896730427,0.0006738497415910609
current_v2,r2p8_w128_di16,u_component_of_wind,30.0,0.0005578635136361053,0.0007446478384063122
current_v2,r2p8_w128_di16,u_component_of_wind,50.0,4.016785945283719e-05,0.00023767450487301896
current_v2,r2p8_w128_di16,u_component_of_wind,70.0,5.577190116132733e-05,0.00012074119862377489
current_v2,r2p8_w128_di16,u_component_of_wind,100.0,9.263474215975357e-05,0.00019939122397641943
current_v2,r2p8_w128_di16,u_component_of_wind,125.0,0.0001259121758193442,0.0002007628392717812
current_v2,r2p8_w128_di16,u_component_of_wind,150.0,0.0001593488218424567,0.0002818571652716563
current_v2,r2p8_w128_di16,u_component_of_wind,175.0,0.00018912744831612468,0.0003107797901766131
current_v2,r2p8_w128_di16,u_component_of_wind,200.0,0.00022666176079046382,0.00036500157229242823
current_v2,r2p8_w128_di16,u_component_of_wind,225.0,0.00027955727979278236,0.00044470569550868373
current_v2,r2p8_w128_di16,u_component_of_wind,250.0,0.00033376301845380624,0.0004999132082674107
current_v2,r2p8_w128_di16,u_component_of_wind,300.0,0.00042014049808944496,0.0007611433695907393
current_v2,r2p8_w128_di16,u_component_of_wind,350.0,0.00044910114176890926,0.0009847392687769502
current_v2,r2p8_w128_di16,u_component_of_wind,400.0,0.0004518766541314276,0.000667248997093492
current_v2,r2p8_w128_di16,u_component_of_wind,450.0,0.0004483516683399461,0.0006248246738911568
current_v2,r2p8_w128_di16,u_component_of_wind,500.0,0.00044375394594238385,0.0005504835196671311
current_v2,r2p8_w128_di16,u_component_of_wind,550.0,0.00045397449553093616,0.0005287679486374259
current_v2,r2p8_w128_di16,u_component_of_wind,600.0,0.00046266199473951787,0.0005292658134417708
current_v2,r2p8_w128_di16,u_component_of_wind,650.0,0.00048198536318748257,0.000659448423490773
current_v2,r2p8_w128_di16,u_component_of_wind,700.0,0.0004985254587796141,0.0006538166796667619
current_v2,r2p8_w128_di16,u_component_of_wind,750.0,0.0005145397117022376,0.0005801773887680849
current_v2,r2p8_w128_di16,u_component_of_wind,775.0,0.0005196896492802469,0.0006116600873501608
current_v2,r2p8_w128_di16,u_component_of_wind,800.0,0.0005269924938898933,0.0006104882049002867
current_v2,r2p8_w128_di16,u_component_of_wind,825.0,0.0005329708262689119,0.0006138587396704452
current_v2,r2p8_w128_di16,u_component_of_wind,850.0,0.0005314663252373755,0.0006160841609260994
current_v2,r2p8_w128_di16,u_component_of_wind,875.0,0.0005255040073515257,0.0006255712386812547
current_v2,r2p8_w128_di16,u_component_of_wind,900.0,0.0005222864165767834,0.0006308563138991788
current_v2,r2p8_w128_di16,u_component_of_wind,925.0,0.0005258940887461332,0.0006537908351948428
current_v2,r2p8_w128_di16,u_component_of_wind,950.0,0.0005155404562034675,0.0006737842031160696
current_v2,r2p8_w128_di16,u_component_of_wind,975.0,0.00047052747208582555,0.0006595591190460642
current_v2,r2p8_w128_di16,u_component_of_wind,1000.0,0.00040213037318206766,0.0006080480685032008
current_v2,r2p8_w128_di16,v_component_of_wind,1.0,5.8649717411799116e-05,6.853790796433926e-05
current_v2,r2p8_w128_di16,v_component_of_wind,2.0,7.170106173936926e-05,9.02060232318065e-05
current_v2,r2p8_w128_di16,v_component_of_wind,3.0,7.690698557511322e-05,0.00010527990664272095
current_v2,r2p8_w128_di16,v_component_of_wind,5.0,8.057865840401754e-05,0.00010789060717045306
current_v2,r2p8_w128_di16,v_component_of_wind,7.0,8.531292629524186e-05,0.0001090124976509371
current_v2,r2p8_w128_di16,v_component_of_wind,10.0,8.4348139319864e-05,0.00010362369055525253
current_v2,r2p8_w128_di16,v_component_of_wind,20.0,9.707549764153543e-05,0.0001099278247729877
current_v2,r2p8_w128_di16,v_component_of_wind,30.0,0.00012114270169299669,0.00017400005950277575
