key,final_norm
~/mesh_interleaved_temporal_r0_s0_state_layer_0_conv_cache,9290.884766
~/mesh_interleaved_temporal_r0_s0_state_layer_0_ssm_state,2318.766357
~/mesh_interleaved_temporal_r0_s0_state_layer_1_conv_cache,11717.535156
~/mesh_interleaved_temporal_r0_s0_state_layer_1_ssm_state,1711.921875
~/mesh_interleaved_temporal_r0_s1_state_layer_0_conv_cache,5758.826660
~/mesh_interleaved_temporal_r0_s1_state_layer_0_ssm_state,2580.826904
~/mesh_interleaved_temporal_r0_s1_state_layer_1_conv_cache,5009.218262
~/mesh_interleaved_temporal_r0_s1_state_layer_1_ssm_state,1859.892456
