run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k1_w128_d16,6,temperature,1,9.9039903324195,8.454861858841012,14.631763813772558
k1_w128_d16,6,temperature,2,7.803570145844489,10.54241354668013,-35.097312507584924
k1_w128_d16,6,temperature,3,5.9621518485255605,9.279290895373643,-55.63660790807283
k1_w128_d16,6,temperature,5,4.385090055922865,6.6151360107853465,-50.85519171608339
k1_w128_d16,6,temperature,7,3.7635630458508427,6.081347443626443,-61.58484312706951
k1_w128_d16,6,temperature,10,2.9208224696340426,5.10536866756496,-74.79215942229536
k1_w128_d16,6,temperature,20,2.0939721623718794,3.298616104170446,-57.52912877476102
k1_w128_d16,6,temperature,30,1.8917885452409964,3.396304857877837,-79.52877801388627
k1_w128_d16,6,temperature,50,0.6339756338755826,1.0824792260507854,-70.74461039353153
k1_w128_d16,6,temperature,70,0.6243969717748195,2.3376929161175695,-274.39209698163427
k1_w128_d16,6,temperature,100,0.5034764029686181,3.9805002625557386,-690.6031422894401
k1_w128_d16,6,temperature,125,0.4184478439401238,4.144932030303796,-890.5492620716906
k1_w128_d16,6,temperature,150,0.38677046048424973,0.9460693706079604,-144.6074525503963
k1_w128_d16,6,temperature,175,0.3775644054013143,0.6898682136802959,-82.71537353925962
k1_w128_d16,6,temperature,200,0.38323074057548784,0.8951713706409188,-133.58548150303986
k1_w128_d16,6,temperature,225,0.38311832551746733,0.8254164018324645,-115.44685984874188
k1_w128_d16,6,temperature,250,0.375536959642129,0.8896295400942321,-136.8953353997465
k1_w128_d16,6,temperature,300,0.3536067996173306,0.8367390155363533,-136.62978665621338
k1_w128_d16,6,temperature,350,0.3426322305011085,0.8864948420938402,-158.7307215078157
k1_w128_d16,6,temperature,400,0.33801091454310517,0.6434421635910853,-90.3613569582025
k1_w128_d16,6,temperature,450,0.33209775732272495,0.5293433056413991,-59.393821237701246
k1_w128_d16,6,temperature,500,0.33127387409214315,0.5767786521642322,-74.10930872375476
k1_w128_d16,6,temperature,550,0.3422217082527592,0.937074869656082,-173.82099003607746
k1_w128_d16,6,temperature,600,0.3478688610140707,1.0970485038386522,-215.3626629991117
k1_w128_d16,6,temperature,650,0.3556504872882546,1.8824143356852518,-429.2877144744513
k1_w128_d16,6,temperature,700,0.3678094238226653,1.009861152912732,-174.5609784592207
k1_w128_d16,6,temperature,750,0.3968346574752268,1.3223212153431771,-233.21717003150758
k1_w128_d16,6,temperature,775,0.4133984937280579,0.807463825283269,-95.32335930919848
k1_w128_d16,6,temperature,800,0.4307056925500911,1.2745656992672916,-195.92497181101442
k1_w128_d16,6,temperature,825,0.45249175291351046,1.276446109977508,-182.09267942646653
k1_w128_d16,6,temperature,850,0.4705338382263487,3.463926313913055,-636.1694383065272
k1_w128_d16,6,temperature,875,0.4887812131023916,3.36104836796563,-587.6386157791105
k1_w128_d16,6,temperature,900,0.4954273893251506,1.2083530449858735,-143.9011388998575
k1_w128_d16,6,temperature,925,0.4964039870728035,1.1456911231940967,-130.79813076240816
k1_w128_d16,6,temperature,950,0.504320183895474,1.1035230691524036,-118.8139805606355
k1_w128_d16,6,temperature,975,0.5252808609988815,1.3347216583271941,-154.09676183310174
k1_w128_d16,6,temperature,1000,0.5406172426608639,1.6083136449075703,-197.4958099729879
k1_w128_d16,6,geopotential,1,30406.341476584912,2706.8301355049757,91.09781050906953
k1_w128_d16,6,geopotential,2,20741.683378610287,1733.2972580063213,91.6434108728428
k1_w128_d16,6,geopotential,3,15608.950424260322,1270.7369089970746,91.85892148762275
k1_w128_d16,6,geopotential,5,9579.348559879374,968.9129549702216,89.88539827198414
k1_w128_d16,6,geopotential,7,6064.013373796517,787.7579092187209,87.00929795731096
k1_w128_d16,6,geopotential,10,2819.5194941345767,688.4873529679751,75.58139412051487
k1_w128_d16,6,geopotential,20,1363.2952418466095,554.7962363829802,59.304762508266506
