run_id,train_K,eval_K,checkpoint_update,origin,valid_time,lead_hours,physical_hours,field,pressure_hpa,location,era5,baseline,residual
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,1.0,Global mean,261.7904679940939,256.0786006443812,260.3037185915466
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,1.0,New York,253.5792999267578,244.9053497314453,248.72689819335938
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,1.0,Beijing,245.98080444335938,254.1787872314453,254.0361328125
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,2.0,Global mean,258.133285474093,254.07109948108268,266.0331365308401
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,2.0,New York,248.65826416015625,236.1887969970703,248.20396423339844
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,2.0,Beijing,252.17117309570312,249.78875732421875,253.91616821289062
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,3.0,Global mean,250.83294088832903,248.21445283564697,257.97847192324565
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,3.0,New York,241.26763916015625,229.21568298339844,238.7003631591797
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,3.0,Beijing,250.42324829101562,244.6845703125,252.4130859375
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,5.0,Global mean,240.39749839852988,238.41967736683006,245.1974287695462
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,5.0,New York,231.922607421875,221.16629028320312,228.6107635498047
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,5.0,Beijing,237.70782470703125,235.50169372558594,241.9893035888672
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,7.0,Global mean,234.33457083348046,232.86744281789714,238.86641148221582
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,7.0,New York,224.49411010742188,217.97576904296875,225.22605895996094
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,temperature,7.0,Beijing,229.832763671875,230.33473205566406,236.3040313720703
