run_id,origin,valid_time,lead_hours,field,pressure_hpa,baseline_mse,residual_mse,baseline_bias,residual_bias
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,1.0,89.33928978430886,61.74721514365619,-5.7118673497126755,-1.486749402547299
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,2.0,59.87850948198418,108.78277778435601,-4.062185993010345,7.899851056747151
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,3.0,37.911382172669356,85.54747225268635,-2.618488052682066,7.145531034916612
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,5.0,21.05307520931379,43.78609034643429,-1.9778210316998082,4.799930371016312
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,7.0,14.292602960703885,36.38041312711953,-1.4671280155833337,4.531840648735365
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,10.0,8.440940213689483,25.727501073481182,-0.22256647200443724,4.126770521671646
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,20.0,4.658658967959686,10.881364106160792,0.709133332606002,-2.1087829894296393
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,30.0,3.6836546371832872,11.349754385197578,0.8606680365606221,-2.452689579151519
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,50.0,0.35082978658116604,1.0754744882111198,0.04517739027849729,0.10200846463387735
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,70.0,0.337447289846534,5.097375937445216,0.0011557176644978878,1.8787231318629973
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,100.0,0.2024459307599057,15.585685611067323,0.0016131390564861278,-3.7328047489319496
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,125.0,0.14698019702715648,16.704131244528078,0.02025107572237899,3.863567888139281
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,150.0,0.11915204716900624,0.8294849674270796,-0.010774754920626746,-0.2745020094886603
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,175.0,0.12337707741861445,0.49350604586552466,0.030636927387432587,0.45869933102305993
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,temperature,200.0,0.12195138628555373,0.7856839562281235,0.0018981394458707987,0.5744470166182494
