component,normalized,run,insertion,path,svd_value
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.355890052196676
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.337522101884913
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.2607102542912079
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.2151727844292746
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.19873135983492
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.1646783306344402
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.149186860528531
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.0882315953150987
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.0739927283354556
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,1.0170956737663754
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.9691663203312848
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.9319467236082747
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.9138432084616573
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.8794701749575655
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.8500644301109164
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.8351908929685301
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.8040313375129874
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.7835835397920229
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.7632234588326929
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.7267625618728782
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.6578177083900092
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.5946331880736814
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.5748910443708891
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.5657787453036845
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.4996889172217532
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.4860903907830722
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.43106248203984177
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.42062734749396935
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.37976673211340534
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.35318091142308583
delta_raw,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/delta_raw_w,0.27942819121722656
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.0
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.9843626453571882
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.9286016340116673
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.8956678939050907
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.8733971785351397
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.8301049870916356
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.7754122300003659
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.7630242736791991
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.7258661734389149
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6978370560003774
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6653947699144507
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6297475551409393
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6075729485176029
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6014203554735408
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.5722549575557815
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.5675028910794305
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.5614467430371477
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.5284484592870814
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.5070416231067477
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.4800271954907598
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.45439776776783375
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.4436912714015103
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.4161515415290315
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.40367199222475514
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.3794700443657317
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.3607832592282851
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.32734377594342035
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.3124403916829107
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.26378276389803257
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.24168101438189837
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.2129662043116127
B,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.20216307229344152
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.501116960756455
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.4776434624807664
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.3939396626010718
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.3445022667459448
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.3110713181759317
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.2460846753317723
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.1639844500315344
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.1453886786887209
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.0896100241885418
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,1.0475350406065185
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.9988353747172208
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.9453247360169748
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.9120380579165822
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.9028022961455082
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.8590216226639489
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.8518882150776562
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.8427972285345334
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.7932629451214548
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.7611287802550211
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.720576964775534
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.682104196126168
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6660324928404026
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6246921372341734
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.6059588741109277
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.5696289196964043
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.5415778695845715
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.4913812940667291
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.46900957118060727
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.3959687808425522
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.36279146978149235
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.3196871813600863
B,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/B_w,0.3034704166583184
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,1.0
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.9830145624860794
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.962544632927874
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.9218832198098368
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.8745574377797899
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.855514673331392
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.8175871007809588
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.7852297443473713
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.7777267270068656
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.7308384740270879
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.7209628577507281
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.7050904682550786
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.6501041083855105
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.6364882568199451
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.6250232575249755
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.5935301553398338
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.5742056096874072
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.5655458756449356
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.5303571568476472
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.5183913745755829
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.48828674847542086
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.4656625844245385
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.42687108565360904
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.4170197554831617
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.4007323920514203
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.34568332765219223
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.3335637826820391
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.3102728452432209
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.2803448377099401
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.2725286079831262
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.237742669405646
C,True,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,0.2120577229905479
C,False,di64_ds32,r0_s0,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/~ssm/x_proj/C_w,1.4310809851156407
