selection,normalized,run,insertion,tensor,path,svd_value
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/conv1d/kernel,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/conv1d/kernel,0.817302233470147
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/conv1d/kernel,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/conv1d/kernel,0.757815417938318
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,1.0
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.9503910006336842
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.9127044403427023
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.9028888317909598
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.8759470963236288
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.8681965070306804
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.8499289089512004
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.8422653605874542
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.8309974030212461
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.821911594790804
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7997127984165655
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7977746020850706
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7899545869831975
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7862108213034984
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.777306896941836
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7708482551726724
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7692909354282386
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7644673565270417
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7498309355063826
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7466665226224077
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7415280857333506
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7345446106459589
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.733688179148171
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7270059373999087
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7258148456176997
all_matrix_like_mamba_tensors,True,di64_ds32,r0_s0,mamba_block_0/in_proj/w,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/in_proj/w,0.7194708469449361
