label,mae_c,max_error_c,n_points
res8_m4_w256_mp1_h6_bs4 (step 50000),2.5715163756753796,10.45684814453125,107
res8_m4_w128_mp2_h6_bs4 (step 50000),2.633948352849372,11.32098388671875,107
res8_m4_w128_mp1_h6_bs4 (step 50000),2.7493825181622373,11.725677490234375,107
res8_m4_w512_mp1_h6_bs4 (step 50000),2.758648025655301,9.26727294921875,107
res8_m4_w256_mp2_h6_bs4 (step 50000),2.8006523346232477,11.420928955078125,107
res8_m4_w1024_mp1_h6_bs4 (step 50000),3.392806008597401,13.070831298828125,107
res8_m4_w1024_mp2_h6_bs4 (step 50000),3.5042566317264163,11.341644287109375,107
res8_m4_w512_mp2_h6_bs4 (step 50000),3.5159403007721233,12.563629150390625,107
