label,mae_c,max_error_c,n_points
res4_m4_w1024_mp2_h6_bs4 (step 76000),3.198000821200284,14.5849609375,99
res4_m4_w512_mp1_h6_bs4 (step 92000),3.2531095562559185,10.910186767578125,99
res4_m4_w256_mp2_h6_bs4 (step 84000),4.5796795469341856,25.535797119140625,99
res4_m4_w512_mp2_h6_bs4 (step 82000),4.913936268199574,17.3543701171875,99
res4_m4_w1024_mp1_h6_bs4 (step 70000),5.255738075333412,23.07244873046875,99
res4_m4_w128_mp1_h6_bs4 (step 92000),5.645826089261758,20.368621826171875,99
res4_m4_w256_mp1_h6_bs4 (step 90000),5.733096806689947,20.914398193359375,99
res4_m4_w128_mp2_h6_bs4 (step 86000),6.220825503570865,23.756134033203125,99
