label,mae_c,max_error_c,n_points
res4_m4_w1024_mp2_h6_bs4 (step 76000),4.801507132393973,17.78985595703125,91
res4_m4_w512_mp1_h6_bs4 (step 92000),5.965825845907022,16.379425048828125,91
res4_m4_w128_mp1_h6_bs4 (step 92000),6.204511034619677,20.48565673828125,91
res4_m4_w1024_mp1_h6_bs4 (step 70000),7.594868418934581,27.767486572265625,91
res4_m4_w512_mp2_h6_bs4 (step 82000),8.223160125397063,25.21124267578125,91
res4_m4_w256_mp1_h6_bs4 (step 90000),8.613802731692136,22.27734375,91
res4_m4_w256_mp2_h6_bs4 (step 84000),8.731712592827094,27.42486572265625,91
res4_m4_w128_mp2_h6_bs4 (step 86000),8.844376281067566,28.115325927734375,91
