lead_step,res4_m4_w128_mp1_h6_bs4 (step 92000),res4_m4_w128_mp2_h6_bs4 (step 86000),res4_m4_w256_mp1_h6_bs4 (step 90000),res4_m4_w256_mp2_h6_bs4 (step 84000),res4_m4_w512_mp1_h6_bs4 (step 92000),res4_m4_w512_mp2_h6_bs4 (step 82000),res4_m4_w1024_mp1_h6_bs4 (step 70000),res4_m4_w1024_mp2_h6_bs4 (step 76000)
1,1.3709627622133727,1.2186497279575892,1.1061873002485796,1.1714354676085632,1.0220901687423904,1.0873886702896713,1.096569705319095,1.2031521487545658
2,1.9912299614448052,1.7699269876851664,1.4544501366553368,1.5153459821428572,1.5861770828048904,1.5249126483867694,1.664043277889103,1.5349656142197645
3,2.3849172220601664,2.2416441285765014,1.6696353268313717,1.985012302150974,2.0282174642983968,1.8097149737469562,2.0528055166269277,1.9535403561282467
4,2.6294862821504665,2.4827026763519684,1.8393612155666599,2.126171954266437,2.28686404537845,1.9062523779931007,2.256355384727577,2.025414603097098
5,2.940438010475852,2.6973108068689124,2.058903285435268,2.410233534775771,2.6602656376826297,2.1906286462560876,2.5326678783862624,2.2357655314656046
6,3.017074188628754,2.7559071330281046,2.0940678584111203,2.501375470842634,2.8429008582969764,2.437950035194298,2.65670261135349,2.4141685188590705
7,3.0123885513900164,2.9436590021306817,2.12722263088474,2.856519822950487,2.907834734235491,2.7351795543323862,2.7958597951121145,2.5902188784116276
8,3.188710200322139,3.3039675625887783,2.155810665774655,2.9762299772980927,3.037935925768567,2.9148700268237624,2.910728355506798,2.582398055435775
9,3.4635267381544237,3.651102239435369,2.404470666662439,3.196927355481433,3.1014620297914974,3.122099641081575,2.958439418247768,2.7720820439326297
10,3.5742141921798902,3.8689967564174106,2.72336330661526,3.275139944893973,3.0235938530463677,3.3260353385628045,3.0537880241096795,2.774223823051948
11,3.8379986255199876,4.312608396852172,2.9754038228617086,3.481972434303977,2.88645617992847,3.6052588921088677,3.531357207855621,2.7251674107142856
12,4.220522793856534,4.718523496157163,3.4365323549741276,3.731160944158381,2.896729308289367,3.6837590205204953,3.9488253903079342,2.743050513329444
13,4.514617127257508,5.099034693334009,3.8997019978312704,4.009445388595779,2.8568351052024146,3.927438909357244,4.294416551466112,2.6484271953632303
14,4.722271015117695,5.468586116642147,4.544897302404626,4.144509451729911,2.5510200401405236,4.338189261300223,4.570985273881392,2.669926829152293
15,4.954976267628855,6.055011303393872,5.346180507114956,4.506647877878957,2.5669908399705763,4.73345610383269,4.839044347985999,2.8861514004794033
16,5.397792271205357,6.6199196159065545,5.7235198578277195,4.713960721895292,3.0572079745205967,4.849202143681514,5.1800604485846184,3.0526638278713474
17,5.731908228490259,7.309737762847504,6.273204456676137,5.236807488775873,3.935965599951806,5.220335923232041,5.456907198026583,3.4323857295048703
18,6.02289848823052,7.81933930632356,6.349812098911831,5.678785051618304,4.474040638316762,5.579501858005276,5.625520978655134,3.685194932021104
19,6.008004522942877,8.394665408444094,6.535475297407671,6.497605955445922,4.986109944133015,5.986082200880174,5.736803129121855,3.9438664820287133
20,5.954684368975751,8.704719246207894,6.77173882026177,7.199428211558949,5.176055908203125,6.267023854441457,6.081789883700284,4.3216620110846184
21,5.727673022778003,9.02784451571378,7.2647092744901585,7.856529136756798,5.515909764673803,6.57637340991528,6.3091826996245945,4.710200916637074
22,5.817993560394683,9.144594861315442,7.849394166624391,8.384328272435573,5.880571637834821,6.808817083185369,6.577166272448255,4.815229143415179
23,6.110932585480925,9.189756913618607,8.439724216213474,8.483230392654221,6.027388337370637,7.014189682997666,6.869813993379667,4.631171882926644
24,6.166901427429992,9.15575359394024,9.005149345893365,8.243819001433137,6.035297740589488,7.165393185305905,6.912594881924716,4.61790842824168
