label,mae_c,max_error_c,n_points
res2_m4_w256_mp2_h6_bs4 (step 76000),2.966067227450284,12.8533935546875,99
res2_m4_w512_mp2_h6_bs4 (step 72000),3.536429048788668,15.291107177734375,99
res2_m4_w512_mp1_h6_bs4 (step 74000),3.826016512784091,15.168853759765625,99
res2_m4_w256_mp1_h6_bs4 (step 76000),4.876508308179451,16.421783447265625,99
res2_m4_w128_mp2_h6_bs4 (step 72000),5.03537018130524,17.265716552734375,99
res2_m4_w1024_mp2_h6_bs4 (step 66000),5.2876731795494,19.157684326171875,99
res2_m4_w1024_mp1_h6_bs4 (step 66000),5.356359616674558,20.31866455078125,99
res2_m4_w128_mp1_h6_bs4 (step 78000),6.5201092344341856,22.6341552734375,99
