label,valid_time,era5_c,pred_c,error_c,abs_error_c
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-22 12:00:00,-1.9197448730468523,-20.784338378906227,-18.864593505859375,18.864593505859375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-22 18:00:00,2.8063903808593977,-3.9010070800781023,-6.7073974609375,6.7073974609375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-23 00:00:00,-0.38626708984372726,-7.067938232421852,-6.681671142578125,6.681671142578125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-23 06:00:00,-4.535681152343727,-15.682348632812477,-11.14666748046875,11.14666748046875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-23 12:00:00,-6.312536621093727,-16.648199462890602,-10.335662841796875,10.335662841796875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-23 18:00:00,-4.742010498046852,-6.929083251953102,-2.18707275390625,2.18707275390625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-24 00:00:00,-13.628576660156227,-16.831243896484352,-3.202667236328125,3.202667236328125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-24 06:00:00,-16.723944091796852,-25.574102783203102,-8.85015869140625,8.85015869140625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-24 12:00:00,-17.700201416015602,-30.877828979492165,-13.177627563476562,13.177627563476562
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-24 18:00:00,-12.934362792968727,-16.811712646484352,-3.877349853515625,3.877349853515625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 00:00:00,-14.379858398437477,-20.757772827148415,-6.3779144287109375,6.3779144287109375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 06:00:00,-14.350561523437477,-27.728918457031227,-13.37835693359375,13.37835693359375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 12:00:00,-14.683508300781227,-30.154791259765602,-15.471282958984375,15.471282958984375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 18:00:00,-15.190344238281227,-15.591436767578102,-0.401092529296875,0.401092529296875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 00:00:00,-13.665136718749977,-19.27983703613279,-5.6147003173828125,5.6147003173828125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 06:00:00,-11.841040039062477,-22.144079589843727,-10.30303955078125,10.30303955078125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 12:00:00,-11.511694335937477,-23.14244689941404,-11.630752563476562,11.630752563476562
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 18:00:00,-8.894750976562477,-8.131750488281227,0.76300048828125,0.76300048828125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 00:00:00,-11.540747070312477,-15.059606933593727,-3.51885986328125,3.51885986328125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 06:00:00,-13.983923339843727,-23.400350952148415,-9.416427612304688,9.416427612304688
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 12:00:00,-16.537329101562477,-27.62651672363279,-11.089187622070312,11.089187622070312
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 18:00:00,-11.967077636718727,-12.755163574218727,-0.7880859375,0.7880859375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 00:00:00,-12.806219482421852,-16.317236328124977,-3.511016845703125,3.511016845703125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 06:00:00,-14.674963378906227,-22.023565673828102,-7.348602294921875,7.348602294921875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 12:00:00,-15.783758544921852,-18.58092346191404,-2.7971649169921875,2.7971649169921875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 18:00:00,-9.477270507812477,-5.422216796874977,4.0550537109375,4.0550537109375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 00:00:00,-12.918737792968727,-6.284735107421852,6.634002685546875,6.634002685546875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 06:00:00,-16.365301513671852,-10.847174072265602,5.51812744140625,5.51812744140625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 12:00:00,-17.70891418457029,-20.30992736816404,-2.60101318359375,2.60101318359375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 18:00:00,-8.359899902343727,-12.408056640624977,-4.04815673828125,4.04815673828125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 00:00:00,-12.139013671874977,-15.698339843749977,-3.559326171875,3.559326171875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 06:00:00,-15.972998046874977,-19.67326965332029,-3.7002716064453125,3.7002716064453125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 12:00:00,-18.018576049804665,-18.22984924316404,-0.211273193359375,0.211273193359375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 18:00:00,-13.150244140624977,-4.084356689453102,9.065887451171875,9.065887451171875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 00:00:00,-14.512030029296852,-13.619818115234352,0.8922119140625,0.8922119140625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 06:00:00,-15.813574218749977,-18.106390380859352,-2.292816162109375,2.292816162109375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 12:00:00,-15.864080810546852,-27.799047851562477,-11.934967041015625,11.934967041015625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 18:00:00,-9.537969970703102,-14.627111816406227,-5.089141845703125,5.089141845703125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-01 00:00:00,-12.663214111328102,-19.145407104492165,-6.4821929931640625,6.4821929931640625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-01 06:00:00,-15.050512695312477,-23.735296630859352,-8.684783935546875,8.684783935546875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-01 12:00:00,-15.128668212890602,-23.824926757812477,-8.696258544921875,8.696258544921875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-01 18:00:00,-10.785986328124977,-10.741003417968727,0.04498291015625,0.04498291015625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-02 00:00:00,-12.553442382812477,-14.213018798828102,-1.659576416015625,1.659576416015625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-02 06:00:00,-13.812811279296852,-18.678808593749977,-4.865997314453125,4.865997314453125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-02 12:00:00,-12.534338378906227,-21.917990112304665,-9.383651733398438,9.383651733398438
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-02 18:00:00,-5.495336914062477,-6.423498535156227,-0.92816162109375,0.92816162109375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-03 00:00:00,-11.217810058593727,-11.089300537109352,0.128509521484375,0.128509521484375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-03 06:00:00,-13.241766357421852,-16.701696777343727,-3.459930419921875,3.459930419921875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-03 12:00:00,-16.255651855468727,-18.482305908203102,-2.226654052734375,2.226654052734375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-03 18:00:00,-3.1725830078124773,-6.525732421874977,-3.3531494140625,3.3531494140625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-04 00:00:00,-4.595678710937477,-10.659643554687477,-6.06396484375,6.06396484375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-04 06:00:00,-6.627416992187477,-15.314245605468727,-8.68682861328125,8.68682861328125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-04 12:00:00,-9.751379394531227,-16.832281494140602,-7.080902099609375,7.080902099609375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-04 18:00:00,-4.643164062499977,-2.7911743164062273,1.85198974609375,1.85198974609375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-05 00:00:00,-9.676733398437477,-7.508795166015602,2.167938232421875,2.167938232421875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-05 06:00:00,-14.581274414062477,-12.212133789062477,2.369140625,2.369140625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-05 12:00:00,-15.556341552734352,-11.265997314453102,4.29034423828125,4.29034423828125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-05 18:00:00,-5.856359863281227,-0.42117919921872726,5.4351806640625,5.4351806640625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-06 00:00:00,-8.718847656249977,-4.996343994140602,3.722503662109375,3.722503662109375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-06 06:00:00,-12.239843749999977,-9.303045654296852,2.936798095703125,2.936798095703125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-06 12:00:00,-11.694738769531227,-10.768682861328102,0.926055908203125,0.926055908203125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-06 18:00:00,-4.056555175781227,0.11510620117189774,4.171661376953125,4.171661376953125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-07 00:00:00,-4.882177734374977,-3.9155334472656023,0.966644287109375,0.966644287109375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-07 06:00:00,-5.140692138671852,-9.690008544921852,-4.54931640625,4.54931640625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-07 12:00:00,-17.189733886718727,-10.161016845703102,7.028717041015625,7.028717041015625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-07 18:00:00,-17.069586181640602,3.2990356445312727,20.368621826171875,20.368621826171875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-08 00:00:00,-17.891851806640602,-2.6897949218749773,15.202056884765625,15.202056884765625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-08 06:00:00,-18.301062011718727,-9.883673095703102,8.417388916015625,8.417388916015625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-08 12:00:00,-19.647924804687477,-13.639471435546852,6.008453369140625,6.008453369140625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-08 18:00:00,-14.317999267578102,1.9711853027343977,16.2891845703125,16.2891845703125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-09 00:00:00,-15.772314453124977,-3.4470581054687273,12.32525634765625,12.32525634765625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-09 06:00:00,-17.560324096679665,-7.309576416015602,10.250747680664062,10.250747680664062
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-09 12:00:00,-19.612310791015602,-4.969793701171852,14.64251708984375,14.64251708984375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-09 18:00:00,-7.877691650390602,6.523950195312523,14.401641845703125,14.401641845703125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-10 00:00:00,-7.783178710937477,2.8740783691406477,10.657257080078125,10.657257080078125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-10 06:00:00,-11.926092529296852,-3.7450012207031023,8.18109130859375,8.18109130859375
