lead_step,res2_m4_w128_mp1_h6_bs4 (step 78000),res2_m4_w128_mp2_h6_bs4 (step 72000),res2_m4_w256_mp1_h6_bs4 (step 76000),res2_m4_w256_mp2_h6_bs4 (step 76000),res2_m4_w512_mp1_h6_bs4 (step 74000),res2_m4_w512_mp2_h6_bs4 (step 72000),res2_m4_w1024_mp1_h6_bs4 (step 66000),res2_m4_w1024_mp2_h6_bs4 (step 66000)
1,1.0416128976004464,1.0004843179281655,0.9317837009182224,0.8767073990462663,0.859649658203125,0.894527683010349,0.7572445559811283,0.7459118335278003
2,1.4032097358208198,1.3755449567522322,1.2167493151379871,1.1642353008319806,1.1659605348265016,1.0699914709314124,0.9447493119673296,0.8689507818841314
3,1.5533094529981737,1.415577677937297,1.3106871765929382,1.362710531655844,1.319953423041802,1.201338730849229,1.0851480062905845,1.1196245465959822
4,1.5712300090046671,1.6227321872463474,1.5554068429129464,1.3915147657518263,1.3632523177506088,1.3179028003246753,1.2644015225497158,1.227779636135349
5,1.8727008770038556,1.9574267895190747,1.8511376318993507,1.6148352684912743,1.601952094536323,1.6019184063007306,1.5509790197595374,1.4394666002942371
6,1.9536049582741477,1.9906984799868102,1.9970639711850648,1.7522265942065747,1.7807292195109579,1.7408371962510145,1.7578002137023132,1.5578644987824675
7,2.1679287204494724,1.9725226860541802,1.932541884385146,1.8045337231128247,1.9732107187246348,1.92169189453125,1.9245201209922889,1.7295345950436283
8,2.512617235059862,2.1712317528662743,1.938385009765625,1.9905332094663148,2.1776012073863638,2.0665949041193183,2.132895729758523,1.9587961172128652
9,2.9843936276126217,2.399409702845982,2.120094596565544,2.1842064795556007,2.336677848518669,2.207985221565544,2.434274252358969,2.1291448419744317
10,3.3798110763747973,2.594392058137175,2.325747403231534,2.2568874606838474,2.407299883953937,2.3610356318486203,2.533790885628044,2.3239211045302355
11,3.793600503500406,2.930085417512175,2.733476514940138,2.449908367999188,2.5547865830458605,2.496526148412135,2.831870735465706,2.8146715040330763
12,4.392425140777192,3.202821805879667,3.145524062119521,2.518661300857346,2.657157204367898,2.7150938356077514,3.402396858512581,3.359915200766031
13,5.138245025238433,3.494789817116477,3.584257844206575,2.636233243075284,2.917343337814529,2.933929443359375,3.897279813692167,3.992764559659091
14,5.782222995510349,3.8795566311130276,3.946174918831169,2.572709913377638,3.2678424785663553,3.2851435673701297,4.416656890472808,4.5548468255377434
15,6.319011341441762,4.426946862951501,4.305669611150568,2.6407506373021508,3.6280323375355112,3.600288688362419,4.894732586749188,5.204347684785917
16,6.818195293476055,4.845395174893466,4.6566395945363235,2.6819469897778,3.8492094758269073,3.6590833787794237,5.310649128703328,5.620097370890828
17,7.4172985522778,5.2198866807021105,4.988565816507711,2.804473084288758,4.260106867009943,3.6555568150111606,5.8646319500811686,5.991181608918425
18,8.093246658127029,5.489081048346185,5.36988454050832,2.8880825290432224,4.505846296037946,3.6787014255275974,6.175325864321225,6.285373043704342
19,8.746479777546671,5.580205743963068,5.695714777166193,3.1419479568283277,4.445407223391842,3.800277908127029,6.393539230544846,6.677615079012784
20,9.626659046519887,5.717886788504464,5.857137308492289,3.7933397169237013,4.20224633154931,4.117214054256291,6.657247568105722,6.960531259511972
21,10.42183933010349,5.875126429966518,6.322438822164164,4.244675673447646,4.110382872742492,4.458726362748579,6.993594082919034,7.399571802709009
22,11.1926293311181,6.183919931386972,6.598419982117492,4.8504424652495945,4.007838657924107,4.5588592925629055,7.399343515371347,7.657916576831372
23,11.853615104378044,6.533539214691558,6.5154181146002434,5.18255853033685,3.8749357941862823,4.5696319976410305,7.697658390193791,7.849244749391234
24,12.533551500989246,6.941451035536729,6.507781982421875,5.125288926161729,3.9002312994622566,4.477659151151583,8.124228341238839,7.967779382482751
