label,mae_c,max_error_c,n_points
res8_m4_w128_mp1_h6_bs4 (step 50000),4.173199664105426,13.958404541015625,91
res8_m4_w256_mp2_h6_bs4 (step 50000),5.350867302863152,22.150634765625,91
res8_m4_w1024_mp2_h6_bs4 (step 50000),6.397929600306919,20.959197998046875,91
res8_m4_w512_mp1_h6_bs4 (step 50000),6.715086213834993,24.89105224609375,91
res8_m4_w128_mp2_h6_bs4 (step 50000),7.376803219973386,22.815521240234375,91
res8_m4_w512_mp2_h6_bs4 (step 50000),7.489341316642342,27.71142578125,91
res8_m4_w1024_mp1_h6_bs4 (step 50000),7.634770990728022,21.89129638671875,91
res8_m4_w256_mp1_h6_bs4 (step 50000),8.06390867128477,27.4449462890625,91
