lead_step,params
1,0.7008125737028302
2,0.812843178803066
3,0.8189282687205188
4,0.9459643094044812
5,1.0618873452240567
6,1.1510424344044812
7,1.2936775639372051
8,1.3983776164504718
9,1.4825122761276532
10,1.5450687048570164
11,1.5331720316185142
12,1.5878013754790683
13,1.6490881577977594
14,1.7380474738354952
15,1.7995899128464032
16,1.818225212816922
17,1.8179269466760024
18,1.7117090765035377
19,1.7952500829156839
20,1.9048911040683962
21,2.067899596016362
22,2.3207443525206366
23,2.5378400694649175
24,2.64694559349204
25,2.7240917277785965
26,2.8931406848835497
27,2.789706248157429
28,2.6972944151680425
29,2.697695750110554
30,2.893432041384139
31,3.0504058262087264
32,3.1575743477299527
33,3.1542145351193986
34,3.1622492952166863
35,3.062385415131191
36,3.0170144135097288
37,3.3055679033387384
38,3.473747397368809
39,3.6211219643646815
40,3.9569345150353774
41,4.30731201171875
42,4.7501848328788325
43,5.1256109273658605
44,5.026741459684552
45,4.9408552061836675
46,5.002429314379422
47,5.3606290997199295
48,5.519888248083727
