label,valid_time,era5_c,pred_c,error_c,abs_error_c
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-22 12:00:00,1.5079895019531477,-14.022283935546852,-15.5302734375,15.5302734375
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-22 18:00:00,6.693109130859398,-5.654852294921852,-12.34796142578125,12.34796142578125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 00:00:00,3.9926391601562727,-5.000494384765602,-8.993133544921875,8.993133544921875
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 06:00:00,0.6068969726562727,-8.068548583984352,-8.675445556640625,8.675445556640625
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 12:00:00,-3.0488647460937273,-6.900213623046852,-3.851348876953125,3.851348876953125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 18:00:00,1.4005676269531477,-1.7531799316406023,-3.15374755859375,3.15374755859375
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 00:00:00,-2.6969360351562273,-3.8181518554687273,-1.1212158203125,1.1212158203125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 06:00:00,-11.505194091796852,-5.137792968749977,6.367401123046875,6.367401123046875
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 12:00:00,-13.733404541015602,-7.945318603515602,5.7880859375,5.7880859375
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 18:00:00,-10.102331542968727,-3.1811584472656023,6.921173095703125,6.921173095703125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 00:00:00,-10.034155273437477,-6.067327880859352,3.966827392578125,3.966827392578125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 06:00:00,-10.993139648437477,-9.028112792968727,1.96502685546875,1.96502685546875
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 12:00:00,-11.943273925781227,-10.038458251953102,1.904815673828125,1.904815673828125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 18:00:00,-12.455969238281227,-4.800146484374977,7.65582275390625,7.65582275390625
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 00:00:00,-9.575292968749977,-8.096624755859352,1.478668212890625,1.478668212890625
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 06:00:00,-7.051977539062477,-10.431066894531227,-3.37908935546875,3.37908935546875
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 12:00:00,-7.345678710937477,-12.673559570312477,-5.327880859375,5.327880859375
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 18:00:00,-4.568579101562477,-6.558477783203102,-1.989898681640625,1.989898681640625
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 00:00:00,-6.685278320312477,-8.718206787109352,-2.032928466796875,2.032928466796875
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 06:00:00,-8.915563964843727,-12.173742675781227,-3.2581787109375,3.2581787109375
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 12:00:00,-11.576391601562477,-12.496435546874977,-0.9200439453125,0.9200439453125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 18:00:00,-7.043249511718727,-3.0594543457031023,3.983795166015625,3.983795166015625
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 00:00:00,-9.130438232421852,-4.377294921874977,4.753143310546875,4.753143310546875
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 06:00:00,-10.473791503906227,-7.902471923828102,2.571319580078125,2.571319580078125
res1_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 12:00:00,-12.313055419921852,-4.306158447265602,8.00689697265625,8.00689697265625
