width,lead_days,mae_c,n_points,ckpt_step,run_name,ckpt_path,res,mp
128,1,1.782946962298769,99,50000,res1_m4_w128_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w128_mp1_h6_bs4/ckpt_step50000.npz,1,1
256,1,1.6102896025686553,99,50000,res1_m4_w256_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w256_mp1_h6_bs4/ckpt_step50000.npz,1,1
512,1,2.0724629103535355,99,46000,res1_m4_w512_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w512_mp1_h6_bs4/ckpt_step46000.npz,1,1
1024,1,1.3224903453480117,99,40000,res1_m4_w1024_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w1024_mp1_h6_bs4/ckpt_step40000.npz,1,1
128,1,1.6654228441642993,99,78000,res2_m4_w128_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w128_mp1_h6_bs4/ckpt_step78000.npz,2,1
256,1,1.740216496014836,99,76000,res2_m4_w256_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w256_mp1_h6_bs4/ckpt_step76000.npz,2,1
512,1,1.6049030959004102,99,74000,res2_m4_w512_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w512_mp1_h6_bs4/ckpt_step74000.npz,2,1
1024,1,1.4311264500473484,99,66000,res2_m4_w1024_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w1024_mp1_h6_bs4/ckpt_step66000.npz,2,1
128,2,2.221117732500789,99,50000,res1_m4_w128_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w128_mp1_h6_bs4/ckpt_step50000.npz,1,1
256,2,2.5692681206597223,99,50000,res1_m4_w256_mp1_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w256_mp1_h6_bs4/ckpt_step50000.npz,1,1
