label,mae_c,max_error_c,n_points
res1_m4_w256_mp2_h6_bs4 (step 50000),6.189436357099932,17.029861450195312,91
res1_m4_w512_mp1_h6_bs4 (step 46000),6.202761974963513,16.010696411132812,91
res1_m4_w128_mp1_h6_bs4 (step 50000),6.2151615017063016,16.506683349609375,91
res1_m4_w256_mp1_h6_bs4 (step 50000),6.2211417732657965,17.158935546875,91
res1_m4_w128_mp2_h6_bs4 (step 50000),6.241973541595123,16.83282470703125,91
res1_m4_w1024_mp1_h6_bs4 (step 40000),6.279104882544214,16.71051025390625,91
res1_m4_w1024_mp2_h6_bs4 (step 40000),6.404756818498884,17.077423095703125,91
res1_m4_w512_mp2_h6_bs4 (step 46000),6.444493220402644,16.540664672851562,91
