label,mae_c,max_error_c,n_points
res8_m4_w128_mp1_h6_bs4 (step 50000),3.6047196821732954,13.7337646484375,99
res8_m4_w256_mp2_h6_bs4 (step 50000),3.8706498579545454,13.6318359375,99
res8_m4_w512_mp1_h6_bs4 (step 50000),4.568715413411458,20.575912475585938,99
res8_m4_w128_mp2_h6_bs4 (step 50000),4.618575741546323,18.1910400390625,99
res8_m4_w512_mp2_h6_bs4 (step 50000),4.8927448927754105,20.470458984375,99
res8_m4_w256_mp1_h6_bs4 (step 50000),4.9978067417337435,17.18365478515625,99
res8_m4_w1024_mp2_h6_bs4 (step 50000),5.272443212644018,26.838638305664062,99
res8_m4_w1024_mp1_h6_bs4 (step 50000),5.810918788717251,18.474945068359375,99
