label,valid_time,era5_c,pred_c,error_c,abs_error_c
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-24 12:00:00,-17.700201416015602,-18.245306396484352,-0.54510498046875,0.54510498046875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-24 18:00:00,-12.934362792968727,-2.7188171386718523,10.215545654296875,10.215545654296875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 00:00:00,-14.379858398437477,-8.270483398437477,6.109375,6.109375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 06:00:00,-14.350561523437477,-17.047979736328102,-2.697418212890625,2.697418212890625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 12:00:00,-14.683508300781227,-23.056173706054665,-8.372665405273438,8.372665405273438
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-25 18:00:00,-15.190344238281227,-9.782751464843727,5.4075927734375,5.4075927734375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 00:00:00,-13.665136718749977,-18.71288146972654,-5.0477447509765625,5.0477447509765625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 06:00:00,-11.841040039062477,-26.649328613281227,-14.80828857421875,14.80828857421875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 12:00:00,-11.511694335937477,-31.231634521484352,-19.719940185546875,19.719940185546875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-26 18:00:00,-8.894750976562477,-11.691320800781227,-2.79656982421875,2.79656982421875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 00:00:00,-11.540747070312477,-16.765661621093727,-5.22491455078125,5.22491455078125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 06:00:00,-13.983923339843727,-22.598699951171852,-8.614776611328125,8.614776611328125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 12:00:00,-16.537329101562477,-23.253027343749977,-6.7156982421875,6.7156982421875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-27 18:00:00,-11.967077636718727,-9.098791503906227,2.8682861328125,2.8682861328125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 00:00:00,-12.806219482421852,-13.573797607421852,-0.767578125,0.767578125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 06:00:00,-14.674963378906227,-18.169439697265602,-3.494476318359375,3.494476318359375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 12:00:00,-15.783758544921852,-19.40148010253904,-3.6177215576171875,3.6177215576171875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-28 18:00:00,-9.477270507812477,-9.815863037109352,-0.338592529296875,0.338592529296875
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 00:00:00,-12.918737792968727,-15.972998046874977,-3.05426025390625,3.05426025390625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 06:00:00,-16.365301513671852,-22.227011108398415,-5.8617095947265625,5.8617095947265625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 12:00:00,-17.70891418457029,-27.56181945800779,-9.8529052734375,9.8529052734375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-29 18:00:00,-8.359899902343727,-7.988012695312477,0.37188720703125,0.37188720703125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 00:00:00,-12.139013671874977,-10.257330322265602,1.881683349609375,1.881683349609375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 06:00:00,-15.972998046874977,-20.754736328124977,-4.78173828125,4.78173828125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 12:00:00,-18.018576049804665,-27.16393127441404,-9.145355224609375,9.145355224609375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-30 18:00:00,-13.150244140624977,-14.718389892578102,-1.568145751953125,1.568145751953125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 00:00:00,-14.512030029296852,-17.902899169921852,-3.390869140625,3.390869140625
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 06:00:00,-15.813574218749977,-23.793096923828102,-7.979522705078125,7.979522705078125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 12:00:00,-15.864080810546852,-26.006964111328102,-10.14288330078125,10.14288330078125
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-01-31 18:00:00,-9.537969970703102,-1.0380310058593523,8.49993896484375,8.49993896484375
res4_m4_w128_mp1_h6_bs4 (step 92000),2026-02-01 00:00:00,-12.663214111328102,-0.7469543457031023,11.916259765625,11.916259765625
