label,mae_c,max_error_c,n_points
res2_m4_w1024_mp2_h6_bs4 (step 66000),1.7706301680235106,5.1500244140625,107
res2_m4_w256_mp2_h6_bs4 (step 76000),1.777181750146028,7.4378662109375,107
res2_m4_w256_mp1_h6_bs4 (step 76000),1.7853635984046436,5.83062744140625,107
res2_m4_w512_mp2_h6_bs4 (step 72000),1.824349091431805,5.649993896484375,107
res2_m4_w1024_mp1_h6_bs4 (step 66000),1.8277219968421436,10.2735595703125,107
res2_m4_w512_mp1_h6_bs4 (step 74000),1.8407706857841706,6.378997802734375,107
res2_m4_w128_mp2_h6_bs4 (step 72000),1.8959359142267815,6.157012939453125,107
res2_m4_w128_mp1_h6_bs4 (step 78000),2.341128910813376,8.4569091796875,107
