label,valid_time,era5_c,pred_c,error_c,abs_error_c
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-22 12:00:00,1.0411926269531477,-11.303686523437477,-12.344879150390625,12.344879150390625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-22 18:00:00,5.304437255859398,-3.8394836425781023,-9.1439208984375,9.1439208984375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 00:00:00,1.0473266601562727,-6.057714843749977,-7.10504150390625,7.10504150390625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 06:00:00,-2.7720092773437273,-8.723455810546852,-5.951446533203125,5.951446533203125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 12:00:00,-8.878942871093727,-10.124060058593727,-1.2451171875,1.2451171875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-23 18:00:00,-1.0506042480468523,-2.4222778320312273,-1.371673583984375,1.371673583984375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 00:00:00,-6.943029785156227,-6.620642089843727,0.3223876953125,0.3223876953125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 06:00:00,-14.446600341796852,-13.199682617187477,1.246917724609375,1.246917724609375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 12:00:00,-18.840826416015602,-17.109808349609352,1.73101806640625,1.73101806640625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 18:00:00,-13.471472167968727,-9.851660156249977,3.61981201171875,3.61981201171875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 00:00:00,-15.071264648437477,-12.491674804687477,2.57958984375,2.57958984375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 06:00:00,-18.07323303222654,-16.169409179687477,1.9038238525390625,1.9038238525390625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 12:00:00,-17.497946166992165,-19.591436767578102,-2.0934906005859375,2.0934906005859375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 18:00:00,-15.860266113281227,-10.513403320312477,5.34686279296875,5.34686279296875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 00:00:00,-9.405371093749977,-12.775762939453102,-3.370391845703125,3.370391845703125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 06:00:00,-6.038305664062477,-16.528051757812477,-10.48974609375,10.48974609375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 12:00:00,-12.085913085937477,-18.01708068847654,-5.9311676025390625,5.9311676025390625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 18:00:00,-8.648657226562477,-9.208349609374977,-0.5596923828125,0.5596923828125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 00:00:00,-7.747778320312477,-13.037481689453102,-5.289703369140625,5.289703369140625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 06:00:00,-11.800329589843727,-17.656805419921852,-5.856475830078125,5.856475830078125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 12:00:00,-14.982641601562477,-20.369955444335915,-5.3873138427734375,5.3873138427734375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 18:00:00,-7.443640136718727,-10.263830566406227,-2.8201904296875,2.8201904296875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 00:00:00,-9.597235107421852,-16.186834716796852,-6.589599609375,6.589599609375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 06:00:00,-13.643713378906227,-17.534643554687477,-3.89093017578125,3.89093017578125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 12:00:00,-15.758367919921852,-17.954199218749977,-2.195831298828125,2.195831298828125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 18:00:00,-7.078833007812477,-10.011419677734352,-2.932586669921875,2.932586669921875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-29 00:00:00,-10.567175292968727,-14.504339599609352,-3.937164306640625,3.937164306640625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-29 06:00:00,-15.482489013671852,-16.434912109374977,-0.952423095703125,0.952423095703125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-29 12:00:00,-16.423742675781227,-14.618780517578102,1.804962158203125,1.804962158203125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-29 18:00:00,-6.844274902343727,-5.276342773437477,1.56793212890625,1.56793212890625
