label,mae_c,max_error_c,n_points
res1_m4_w1024_mp1_h6_bs4 (step 40000),1.7182189370984229,5.991302490234375,107
res1_m4_w1024_mp2_h6_bs4 (step 40000),2.0251955406688085,7.32159423828125,107
res1_m4_w256_mp2_h6_bs4 (step 50000),2.43411811044283,9.25604248046875,107
res1_m4_w128_mp2_h6_bs4 (step 50000),2.480395022953782,11.51416015625,107
res1_m4_w512_mp2_h6_bs4 (step 46000),2.4889854359849592,7.4614715576171875,107
res1_m4_w256_mp1_h6_bs4 (step 50000),2.865956244067611,9.99053955078125,107
res1_m4_w128_mp1_h6_bs4 (step 50000),3.014889155592874,11.300140380859375,107
res1_m4_w512_mp1_h6_bs4 (step 46000),3.3775215505439546,9.728302001953125,107
