label,mae_c,max_error_c,n_points
res1_m4_w256_mp2_h6_bs4 (step 50000),2.923884690409959,13.270355224609375,99
res1_m4_w1024_mp1_h6_bs4 (step 40000),3.1499077382713856,15.6748046875,99
res1_m4_w1024_mp2_h6_bs4 (step 40000),3.875253696634312,18.252105712890625,99
res1_m4_w128_mp2_h6_bs4 (step 50000),4.956826412316524,18.147003173828125,99
res1_m4_w512_mp2_h6_bs4 (step 46000),5.212787050189394,22.040924072265625,99
res1_m4_w128_mp1_h6_bs4 (step 50000),5.572178387882734,16.907989501953125,99
res1_m4_w512_mp1_h6_bs4 (step 46000),6.808775314176925,17.876190185546875,99
res1_m4_w256_mp1_h6_bs4 (step 50000),6.937985969312264,21.48095703125,99
