label,valid_time,era5_c,pred_c,error_c,abs_error_c
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 12:00:00,-18.840826416015602,-14.013983154296852,4.82684326171875,4.82684326171875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-24 18:00:00,-13.471472167968727,-7.709722900390602,5.761749267578125,5.761749267578125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 00:00:00,-15.071264648437477,-9.056585693359352,6.014678955078125,6.014678955078125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 06:00:00,-18.07323303222654,-11.715948486328102,6.3572845458984375,6.3572845458984375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 12:00:00,-17.497946166992165,-16.687445068359352,0.8105010986328125,0.8105010986328125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-25 18:00:00,-15.860266113281227,-7.540991210937477,8.31927490234375,8.31927490234375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 00:00:00,-9.405371093749977,-8.480657958984352,0.924713134765625,0.924713134765625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 06:00:00,-6.038305664062477,-13.971655273437477,-7.933349609375,7.933349609375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 12:00:00,-12.085913085937477,-19.057958984374977,-6.9720458984375,6.9720458984375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-26 18:00:00,-8.648657226562477,-10.781683349609352,-2.133026123046875,2.133026123046875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 00:00:00,-7.747778320312477,-12.033026123046852,-4.285247802734375,4.285247802734375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 06:00:00,-11.800329589843727,-13.737463378906227,-1.9371337890625,1.9371337890625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 12:00:00,-14.982641601562477,-17.787512207031227,-2.80487060546875,2.80487060546875
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-27 18:00:00,-7.443640136718727,-10.442083740234352,-2.998443603515625,2.998443603515625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 00:00:00,-9.597235107421852,-13.331243896484352,-3.7340087890625,3.7340087890625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 06:00:00,-13.643713378906227,-17.68993225097654,-4.0462188720703125,4.0462188720703125
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 12:00:00,-15.758367919921852,-18.781454467773415,-3.0230865478515625,3.0230865478515625
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-28 18:00:00,-7.078833007812477,-8.739569091796852,-1.660736083984375,1.660736083984375
res8_m4_w128_mp1_h6_bs4 (step 50000),2026-01-29 00:00:00,-10.567175292968727,-10.418188476562477,0.14898681640625,0.14898681640625
