label,mae_c,max_error_c,n_points
res4_m4_w256_mp1_h6_bs4 (step 90000),2.1290902111017815,6.6876220703125,107
res4_m4_w1024_mp2_h6_bs4 (step 76000),2.512461011654863,8.379302978515625,107
res4_m4_w1024_mp1_h6_bs4 (step 70000),2.516823599271685,8.951416015625,107
res4_m4_w512_mp2_h6_bs4 (step 82000),2.5386873049156686,8.7242431640625,107
res4_m4_w512_mp1_h6_bs4 (step 92000),2.57953693710755,8.033172607421875,107
res4_m4_w256_mp2_h6_bs4 (step 84000),2.814218538943852,8.224761962890625,107
res4_m4_w128_mp2_h6_bs4 (step 86000),2.937048510970356,11.189056396484375,107
res4_m4_w128_mp1_h6_bs4 (step 92000),2.9945991016994014,12.026992797851562,107
