run_id,epoch,update,training_seconds,training_hours,validation_records,ngcm_loss,residual_ngcm_loss,improvement_pct
r2p8_w128_di16,0,0,0.0,0.0,1455,20832.350542310996,20832.350542310996,0.0
r2p8_w128_di16,1,424,2611.343747856794,0.7253732632935539,1455,20832.350542310996,19068.636188520188,8.466228283787103
r2p8_w128_di16,2,848,5031.476363561349,1.3976323232114858,1455,20832.350542310996,18340.565766618343,11.961131177356965
r2p8_w128_di16,3,1272,7425.733187271981,2.0627036631311055,1455,20832.350542310996,17666.42263812822,15.19717085094503
r2p8_w128_di16,4,1696,9780.409756373148,2.71678048788143,1455,20832.350542310996,16930.09515275988,18.731709518930874
r2p8_w128_di16,5,2120,12092.891128270887,3.359136424519691,1455,20832.350542310996,16419.299371107172,21.183644938389513
r2p8_w128_di32,0,0,0.0,0.0,1455,20832.350542310996,20832.350542310996,0.0
r2p8_w128_di32,1,424,2685.77465642849,0.7460485156745805,1455,20832.350542310996,19070.389473260308,8.457812120010678
r2p8_w128_di32,2,848,5191.5689534090925,1.4421024870580812,1455,20832.350542310996,18427.62009302513,11.543250697523566
r2p8_w128_di32,3,1272,7674.385073575657,2.1317736315487936,1455,20832.350542310996,17716.205386195234,14.958202387132447
r2p8_w128_di32,4,1696,10106.002553704428,2.807222931584563,1455,20832.350542310996,16847.562516779424,19.127884860800382
r2p8_w128_di32,5,2120,12496.618476577569,3.471282910160436,1455,20832.350542310996,16329.755802324957,21.613474345303295
r2p8_w256_di16,0,0,0.0,0.0,1455,20832.350542310996,20832.350542310996,0.0
r2p8_w256_di16,1,424,3154.1671510683373,0.876157541963427,1455,20832.350542310996,18750.422181727878,9.993727574594491
r2p8_w256_di16,2,848,6102.314076152863,1.6950872433757953,1455,20832.350542310996,17908.700290619632,14.034183256245436
r2p8_w256_di16,3,1272,9000.584362413734,2.500162322892704,1455,20832.350542310996,16786.24394933956,19.422227869839737
r2p8_w256_di16,4,1696,11861.040753142908,3.2947335425396966,1455,20832.350542310996,16384.837239583332,21.349070973506613
r2p8_w256_di16,5,2120,14719.038921785075,4.088621922718076,1455,20832.350542310996,15612.177191392826,25.058014170392706
r2p8_w256_di32,0,0,0.0,0.0,1455,20832.350542310996,20832.350542310996,0.0
r2p8_w256_di32,1,424,3206.9351030937396,0.8908153064149277,1455,20832.350542310996,18747.013175204036,10.01009157786391
r2p8_w256_di32,2,848,6228.31396059203,1.7300872112755639,1455,20832.350542310996,17838.384764953822,14.371713702092137
r2p8_w256_di32,3,1272,9168.63458108739,2.5468429391909417,1455,20832.350542310996,17133.91415109536,17.75333217297791
r2p8_w256_di32,4,1696,12071.342125741066,3.3531505904836294,1455,20832.350542310996,16098.334441446521,22.72434928189969
r2p8_w256_di32,5,2120,14970.967570828041,4.158602103007789,1455,20832.350542310996,15454.734744818514,25.813773566119757
